Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
344,765,1213,658,369,238,179,188
350,748,1153,636,369,235,184,190
342,728,1146,639,377,262,187,184
299,700,1191,593,293,223,153,143
308,612,1100,552,302,221,151,144
333,631,1060,618,327,261,173,163
361,638,1085,615,344,295,189,175
365,621,1096,646,361,293,194,185
364,678,1143,694,394,309,212,194
413,745,1169,784,469,336,256,233
419,680,1121,736,491,312,261,240
413,718,1125,770,489,285,251,240
405,780,1100,754,466,254,239,230
365,687,1026,665,422,232,215,211
281,620,974,514,305,171,147,153
261,606,1154,601,308,183,132,142
272,713,1135,606,351,233,161,158
280,695,1148,626,366,245,175,162
286,726,1151,614,370,245,178,167
289,731,1193,637,379,251,179,170
261,734,1089,547,318,231,164,151
211,604,1158,493,236,159,136,114
269,644,1165,472,222,154,136,131
279,628,1114,510,235,162,132,132
296,622,1071,524,269,181,157,153
319,703,1050,534,278,179,158,162
305,685,859,494,270,177,152,159
261,606,803,487,262,191,147,145
295,666,925,497,292,191,173,166
297,691,1023,519,295,176,169,165
274,593,1000,503,296,180,169,158
287,614,1080,523,314,191,170,159
285,651,1099,544,332,178,173,160
243,633,1009,508,297,163,145,137
328,675,995,603,410,271,210,185
337,688,1079,603,408,271,207,189
378,809,1053,630,419,288,220,203
384,775,1036,611,405,288,214,201
401,767,1053,630,420,299,220,210
380,785,1069,608,371,270,189,190
381,785,972,607,370,272,195,189
356,617,1026,605,362,279,201,183
345,606,1057,610,365,276,205,183
328,622,1094,596,363,277,204,176
257,506,1015,523,273,209,165,140
247,496,1002,524,267,199,157,134
213,489,972,476,246,157,123,118
207,573,919,449,233,150,111,111
195,524,862,421,199,125,99,101
197,540,847,332,178,114,85,91
197,526,891,299,168,115,87,95
201,574,893,305,152,116,88,88
202,497,950,360,166,136,103,99
202,480,910,367,173,150,111,99
190,444,970,423,184,157,124,102
187,452,1008,440,187,155,123,100
179,389,1007,434,183,144,118,99
196,415,1042,435,171,122,107,101
216,455,1097,523,206,117,111,115
214,452,1052,507,200,111,113,112
219,468,991,499,201,111,107,112
265,573,1015,540,235,125,117,130
244,539,969,486,224,132,116,119
232,514,977,489,209,128,114,109
298,628,982,593,297,172,145,155
302,631,978,624,312,188,160,163
298,568,948,634,319,202,174,168
333,640,974,673,342,207,181,181
387,722,1131,711,418,256,210,210
401,682,1178,711,435,277,226,227
400,720,1281,694,429,268,220,223
428,743,1255,731,463,282,226,240
410,724,1232,733,470,293,229,238
391,675,1101,694,443,256,210,230
331,727,1176,618,379,215,165,185
353,710,1191,661,397,227,176,197
365,708,1229,655,393,234,173,189
360,713,1301,637,372,216,161,181
354,772,1292,594,340,222,160,174
356,719,1204,587,337,222,162,173
342,758,1124,538,325,212,158,174
317,864,1219,537,331,202,166,174
378,904,1174,627,401,238,200,207
360,856,1171,640,398,245,202,202
468,863,1160,695,483,319,258,268
477,888,1220,738,522,349,278,279
496,784,1074,727,495,350,269,274
473,792,1118,693,456,347,257,261
535,847,1107,797,528,403,300,290
593,949,1146,868,609,420,322,301
592,893,1031,842,593,404,308,291
557,881,1038,821,584,404,303,283
551,820,920,780,581,403,302,280
555,794,966,783,578,378,290,282
418,615,965,734,469,320,240,236
451,673,993,798,508,359,245,272
463,711,1106,799,510,354,251,276
481,828,1176,834,558,373,267,294
419,800,1176,783,510,341,243,267
416,852,1131,730,465,336,224,244
380,871,1164,658,413,319,213,198
387,857,1140,674,440,318,219,207
349,706,1108,619,362,291,187,177
328,731,1088,533,322,277,159,161
309,658,1123,499,306,247,146,155
308,547,1138,536,310,234,157,162
301,540,1036,489,298,247,154,161
307,571,972,523,324,238,169,162
327,520,912,501,321,240,176,175
350,571,1026,618,359,264,191,192
368,627,1010,639,386,232,198,200
375,633,1011,693,389,213,195,195
371,613,1015,685,380,204,181,194
420,733,1055,756,459,232,231,228
429,731,961,728,475,218,236,231
408,678,920,684,430,220,224,215
378,670,955,645,407,216,219,204
446,740,1038,731,493,268,263,246
443,670,1062,780,497,288,249,242
456,716,1018,793,528,309,273,260
448,741,1041,787,527,324,273,256
467,733,1026,803,551,342,279,263
407,710,936,720,474,310,250,228
345,716,989,641,407,298,234,197
284,649,946,529,317,287,190,154
369,693,1030,643,440,329,262,231
361,746,1030,587,410,301,257,232
369,726,1057,609,407,296,251,227
364,642,950,548,388,271,235,217
367,650,982,585,388,270,241,217
276,592,850,437,241,182,144,128
314,630,886,515,299,241,156,147
310,652,908,489,302,239,155,151
377,774,871,536,343,273,195,192
395,810,951,547,356,263,199,201
418,826,933,563,371,290,221,216
415,796,1014,564,371,301,225,214
454,791,1018,622,400,318,234,225
404,687,1074,589,370,294,203,193
413,733,1096,632,403,303,200,205
406,767,1182,660,401,291,189,201
372,736,1119,629,363,266,179,183
313,722,1099,575,343,251,198,188
299,722,1104,566,338,251,201,190
278,654,1140,545,313,289,220,185
248,612,1108,484,290,296,213,173
248,585,1083,484,291,274,200,168
296,628,1150,514,328,284,173,158
299,639,1126,518,332,276,171,156
318,626,1060,469,311,240,162,155
345,646,1116,552,343,246,181,173
337,636,1145,566,339,253,184,175
353,640,1160,630,354,295,202,190
452,710,1174,747,437,319,237,227
427,715,1084,732,432,309,224,212
419,690,1005,730,441,316,227,208
471,797,1122,773,468,340,242,232
428,740,1099,721,426,304,234,210
329,658,1135,602,344,296,199,173
340,669,1188,663,370,305,202,180
336,666,1246,621,349,281,192,171
268,532,1077,516,310,286,174,135
277,518,1034,509,316,282,160,140
333,562,1099,630,399,286,182,174
305,514,1075,566,361,264,169,160
292,454,989,542,345,256,156,156
274,414,959,531,325,192,143,148
293,465,1016,578,340,222,164,155
224,411,895,441,228,206,139,107
248,447,931,495,248,208,145,113
245,456,892,511,252,205,157,144
246,467,1004,527,253,221,159,147
250,487,941,534,275,190,156,164
249,528,960,559,284,178,163,173
240,500,868,521,290,210,174,187
259,512,875,537,309,218,169,174
278,621,850,575,331,222,188,182
306,689,825,587,326,233,186,185
425,746,935,735,437,294,241,255
520,877,1103,830,539,340,289,301
552,920,1185,857,590,388,309,320
633,930,1222,978,716,440,348,372
607,901,1258,933,702,427,340,359
637,939,1258,955,762,440,350,373
610,921,1185,918,746,452,338,355
578,923,1169,889,698,424,325,335
554,974,1201,835,630,435,311,310
614,1046,1166,901,685,453,320,333
522,999,1137,780,548,433,291,266
499,963,1164,757,484,392,273,246
533,990,1229,912,528,395,275,267
518,1011,1219,998,541,406,301,272
447,938,1275,954,478,392,302,247
433,907,1234,971,485,384,299,247
485,979,1259,1069,567,414,311,282
479,977,1155,991,579,439,337,288
470,885,1112,907,576,398,304,279
459,844,1055,875,563,400,293,272
495,906,1092,865,589,393,284,281
415,787,1046,699,505,397,270,241
378,705,1033,623,453,360,231,209
367,770,1021,521,369,333,217,173
388,761,1013,589,394,332,229,193
371,715,1019,655,396,362,243,198
375,676,936,641,369,291,211,184
441,789,1017,763,487,305,245,230
398,667,1030,741,479,300,241,224
476,734,1048,785,551,340,268,259
469,708,1011,725,542,317,260,249
468,743,1002,731,559,332,270,255
434,701,959,633,465,353,260,226
453,722,955,695,474,352,254,230
375,650,992,650,396,339,228,189
341,603,867,581,342,344,229,170
347,601,937,658,365,337,232,181
332,493,901,633,364,300,206,173
292,450,882,532,332,291,192,160
264,441,806,457,279,250,174,141
268,465,913,482,279,200,140,144
245,484,907,383,244,182,122,127
241,607,902,453,268,169,131,131
228,621,899,448,256,154,128,122
223,626,925,453,257,138,126,121
243,696,1017,478,276,128,131,129
398,734,1085,678,427,261,229,226
405,644,1111,679,442,293,236,228
462,727,1171,793,507,340,270,254
