Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
187,87,237,136,40,38,59,235
168,94,247,139,39,40,53,201
191,95,247,138,39,40,50,189
198,87,219,152,39,41,48,211
202,83,196,136,35,39,48,216
201,86,161,127,34,38,62,189
174,86,148,125,35,34,63,192
211,83,168,136,38,39,66,265
200,108,155,111,31,37,68,266
225,106,167,115,31,37,71,276
237,109,202,127,33,33,56,315
238,108,213,127,29,32,61,306
222,111,214,133,29,33,66,273
225,86,216,132,28,33,69,277
227,88,248,134,28,34,69,278
212,83,229,139,30,34,68,219
210,82,225,140,31,34,65,223
251,81,221,133,31,28,55,222
261,86,257,150,33,28,50,210
235,77,255,149,35,27,46,197
233,75,289,157,34,31,46,206
259,77,289,169,34,30,44,253
206,75,297,166,35,33,54,226
189,77,269,166,37,34,54,223
196,115,255,163,39,34,55,224
230,126,231,157,40,32,55,221
242,124,225,149,40,32,54,168
245,134,208,149,38,28,50,171
246,134,201,132,35,28,57,190
245,114,184,136,34,34,63,236
218,124,150,124,32,37,66,237
181,123,159,122,34,39,66,228
141,118,157,120,34,40,65,219
177,117,164,120,34,39,62,245
172,117,170,110,34,36,68,233
175,100,168,105,34,31,67,235
208,102,165,105,34,30,70,258
222,99,167,110,37,30,75,270
195,110,184,120,40,33,73,240
200,103,176,126,42,32,62,208
242,101,194,126,41,33,64,240
227,99,187,119,38,32,60,247
213,97,206,137,37,34,52,254
208,93,223,160,40,36,57,247
211,102,223,162,37,36,55,257
160,98,212,159,38,36,50,227
193,105,229,177,38,37,48,190
193,109,259,175,39,34,51,158
214,101,278,183,32,29,48,163
247,89,275,176,30,29,58,212
248,95,286,181,32,30,60,207
232,101,285,178,35,30,59,209
233,93,253,167,34,31,58,217
254,99,220,130,35,31,57,239
260,102,216,130,36,32,50,186
255,102,227,148,33,31,47,183
228,96,230,146,32,30,52,207
226,101,237,146,29,31,53,218
199,92,211,135,27,30,54,201
151,104,216,138,27,29,55,203
151,106,228,127,31,31,70,207
160,101,237,123,31,31,67,194
167,101,217,121,31,29,63,195
197,119,222,129,33,31,62,185
188,112,232,130,34,32,63,188
186,108,205,116,32,31,45,200
182,107,184,112,31,31,47,262
195,108,182,113,32,30,49,250
151,85,174,109,31,30,48,248
183,82,157,111,32,29,48,253
190,92,186,138,34,31,49,245
187,103,209,146,36,35,49,187
161,97,212,144,36,36,66,221
165,98,220,141,35,35,76,240
190,98,278,167,35,35,74,219
199,89,266,162,33,32,74,274
199,75,244,148,31,28,76,270
212,75,241,151,29,25,61,251
225,81,269,157,32,27,47,247
180,81,260,148,34,26,49,259
168,88,279,148,34,25,52,202
201,95,293,153,36,26,50,212
191,101,295,149,35,28,51,218
200,94,271,146,35,29,51,201
195,92,229,141,35,32,49,192
195,101,189,119,35,32,52,247
175,104,156,110,34,32,51,236
211,104,157,113,36,33,49,235
206,109,247,129,38,33,49,233
210,112,295,120,38,32,47,237
207,96,298,128,38,34,50,201
233,97,299,128,39,33,56,205
238,93,299,133,37,31,57,188
221,90,250,131,36,33,60,184
217,92,198,118,32,34,60,177
229,93,184,111,30,33,57,152
233,83,184,113,27,33,53,160
214,87,181,107,31,36,50,153
201,105,146,102,28,30,45,152
200,104,136,99,31,31,55,173
191,104,135,115,32,31,50,173
154,106,161,130,33,31,48,157
157,113,210,149,33,31,52,170
161,100,209,138,34,33,61,177
166,94,204,139,32,31,53,172
187,93,212,126,32,33,54,167
217,113,227,126,32,32,54,198
194,110,244,141,32,31,52,190
211,109,272,167,33,30,46,231
208,106,276,168,33,31,49,247
186,109,273,180,32,29,49,246
151,93,255,172,32,28,48,218
156,93,198,153,30,26,49,221
147,90,162,122,27,24,53,268
143,89,158,127,26,25,49,257
212,82,150,105,27,27,55,264
211,86,154,108,28,28,54,262
211,79,179,112,31,31,54,268
205,77,179,118,34,33,56,216
210,79,177,115,34,33,63,210
247,84,195,129,34,30,56,222
245,93,253,141,39,34,57,224
252,104,250,140,38,34,56,212
250,103,250,139,37,35,59,177
254,105,248,141,38,34,54,166
158,101,255,150,38,34,53,161
147,88,254,171,33,36,56,178
142,72,238,159,32,34,59,199
168,81,229,154,33,34,53,229
179,82,238,160,35,36,56,233
187,102,251,153,41,42,61,213
187,97,192,125,42,40,65,198
181,102,206,128,41,39,67,243
179,102,206,130,41,39,64,214
187,101,209,121,39,37,61,215
200,98,181,124,37,30,57,224
195,100,174,116,33,29,52,230
192,106,160,109,32,28,46,179
184,114,165,105,32,27,46,193
187,113,161,112,31,28,45,183
201,99,166,119,30,28,44,177
215,94,233,135,31,27,45,172
233,83,238,136,32,29,50,216
271,82,236,139,30,29,48,204
273,92,238,158,33,30,49,209
247,97,264,164,32,33,48,215
238,107,238,154,30,32,50,222
355,108,234,157,32,32,51,228
333,108,253,162,35,32,52,224
317,103,255,162,39,32,51,226
316,107,230,167,37,29,49,220
335,100,191,162,39,32,64,232
251,99,207,162,38,33,67,179
238,104,203,159,36,35,68,179
234,101,199,145,30,34,70,175
230,117,202,136,32,40,80,187
208,118,204,135,30,36,68,178
192,128,186,131,29,35,62,193
198,122,186,130,31,35,61,195
206,123,208,142,33,34,60,203
216,98,212,132,32,27,61,195
213,100,230,142,33,28,60,173
161,85,231,145,32,28,58,139
147,70,228,147,33,27,60,149
184,107,206,129,31,28,63,154
204,116,216,136,30,28,48,141
207,112,205,121,28,28,44,164
201,109,207,122,32,30,57,174
198,112,221,122,33,29,54,171
223,96,237,119,30,26,51,173
227,97,210,102,31,25,51,195
220,105,207,106,31,27,59,196
222,119,241,120,32,26,51,200
230,118,222,129,30,26,52,217
169,101,230,139,33,26,57,202
166,92,242,153,34,29,63,188
189,94,236,151,36,27,58,184
218,81,232,154,39,27,55,184
221,87,257,167,39,29,54,160
223,99,253,164,38,31,55,163
233,96,240,146,35,30,57,212
221,85,251,152,35,30,58,213
265,83,222,168,34,32,60,210
259,96,203,150,31,31,58,198
263,94,189,154,32,31,60,244
260,98,189,152,33,30,54,215
263,99,198,149,32,31,53,204
200,106,211,127,27,30,56,210
213,100,218,136,30,31,58,219
249,88,213,122,28,30,55,164
224,90,211,120,26,31,58,168
246,87,204,132,29,32,59,170
264,87,206,126,30,31,51,152
255,80,197,119,27,29,51,197
214,85,193,119,30,29,47,205
205,79,189,121,30,28,48,219
202,92,220,136,30,27,50,222
172,117,212,134,29,26,50,225
172,114,206,132,30,27,49,179
174,112,219,136,29,25,48,164
248,114,245,142,34,25,43,145
225,104,244,138,37,30,43,165
221,75,239,134,39,30,45,199
236,87,242,130,41,30,48,223
232,98,242,132,43,31,56,244
159,100,249,139,40,30,55,257
266,99,214,110,35,26,55,238
272,90,223,112,36,26,55,216
260,84,211,117,34,27,70,220
278,79,189,112,32,26,62,231
271,75,145,94,32,26,61,238
161,88,175,118,34,26,58,238
180,90,158,109,29,26,60,233
206,88,175,111,29,25,42,272
186,87,222,132,32,27,43,265
203,121,237,154,32,27,43,235
207,113,228,147,30,27,44,242
200,119,237,157,32,26,40,312
291,119,226,149,31,26,40,267
295,120,211,147,28,23,38,249
289,96,226,159,32,25,38,246
293,93,229,162,36,30,46,275
298,89,215,153,37,31,54,214
224,82,226,157,37,32,51,256
239,82,220,144,39,34,51,256
236,82,220,105,35,34,49,270
241,83,209,95,31,33,56,239
232,81,208,98,30,32,48,230
196,89,223,109,30,31,51,179
196,84,244,114,28,32,55,197
195,71,217,126,30,31,58,202
202,87,220,123,28,27,50,211
191,89,227,130,27,31,57,210
193,80,242,131,33,33,57,205
213,79,244,154,35,35,56,191
244,88,259,170,34,35,54,183
221,72,254,170,35,38,52,179
217,66,255,165,37,34,40,181
213,81,237,171,38,39,43,183
159,88,200,149,37,36,38,178
111,81,184,129,37,37,46,201
177,83,188,127,36,35,44,199
185,94,185,129,39,36,46,188
186,96,166,114,37,30,43,178
186,99,161,112,35,29,48,179
181,104,167,111,36,28,40,151
186,104,151,109,37,30,49,209
188,95,169,121,35,29,53,219
184,81,199,134,35,29,54,216
191,69,200,135,33,29,51,220
195,58,194,132,32,29,58,233
147,58,201,130,33,28,56,190
152,56,186,135,34,31,55,181
175,61,157,129,32,30,52,191
184,62,179,127,37,28,53,216
181,62,178,119,37,29,51,201
173,65,172,121,37,29,50,205
162,76,184,101,32,27,51,203
151,81,196,106,33,27,51,200
133,86,178,112,29,29,52,174
181,87,190,117,30,30,46,194
186,82,197,115,30,30,40,247
185,83,193,115,29,28,34,256
174,79,237,113,31,32,36,257
236,74,241,107,29,30,33,266
237,87,235,97,29,30,42,302
243,88,228,101,29,30,48,265
244,79,232,117,30,33,50,258
244,75,186,125,29,29,47,262
189,72,171,128,33,32,52,269
163,53,162,131,33,31,50,231
223,56,178,164,34,34,47,210
241,55,266,217,35,33,47,205
242,67,282,232,34,34,48,202
247,75,302,232,32,31,54,210
297,80,307,232,35,34,54,216
255,77,306,212,35,33,52,211
245,82,226,155,31,32,51,210
273,74,207,117,31,32,52,244
265,64,176,113,30,31,42,219
235,59,175,120,28,30,38,177
226,61,173,125,27,29,36,178
221,60,190,120,29,29,37,210
182,58,200,127,32,30,56,179
185,60,204,125,31,31,57,182
168,58,209,122,28,28,59,192
236,62,240,152,35,29,64,208
235,60,254,163,38,32,66,192
236,60,229,150,38,28,50,225
235,60,223,149,39,28,49,232
206,77,267,180,41,29,45,229
120,74,268,184,36,28,41,212
148,73,257,195,31,29,49,225
152,72,257,197,28,28,52,179
169,75,261,200,27,29,53,176
167,59,220,177,24,27,53,169
171,67,217,154,24,28,53,176
147,64,202,118,28,27,57,176
227,72,204,115,26,29,58,187
228,72,206,111,26,28,54,174
