Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
112,179,73,150,92,53,100,172
118,242,83,139,75,54,96,159
104,248,80,142,72,56,95,151
104,235,73,119,73,59,100,154
114,250,71,118,71,54,92,147
98,245,78,129,71,49,80,125
94,227,74,134,73,49,101,137
98,225,70,122,79,50,102,140
112,234,72,115,75,49,101,131
103,217,76,111,71,44,104,126
102,228,85,109,73,47,113,123
97,190,86,109,75,45,100,131
107,182,90,108,67,42,100,138
98,168,90,112,65,37,114,138
101,171,90,104,65,39,119,129
106,178,70,100,57,37,114,126
114,236,61,87,51,41,118,113
113,243,53,82,51,62,157,119
104,231,51,84,56,64,159,131
96,242,64,97,51,66,156,134
96,236,76,104,54,67,160,144
86,170,76,109,52,67,168,136
78,156,80,112,56,57,151,133
85,176,99,150,62,57,139,120
92,216,93,145,67,55,141,137
95,223,88,133,65,54,144,138
103,233,89,164,71,51,133,138
99,238,87,183,81,45,111,129
93,229,66,157,73,40,102,130
121,259,71,158,72,40,94,125
122,267,73,161,72,37,88,118
122,275,79,128,68,36,88,120
146,282,88,97,52,36,90,119
151,279,91,117,61,38,88,110
127,206,82,112,58,37,89,106
124,181,78,114,67,40,83,119
118,161,79,126,69,47,103,111
88,150,74,129,68,44,105,110
92,170,90,121,71,46,116,109
88,196,95,134,72,46,117,96
89,211,93,129,61,45,130,110
111,214,88,119,58,38,109,120
122,232,86,133,67,39,101,125
120,228,75,126,68,42,91,130
125,222,74,112,67,41,86,132
125,216,78,114,67,45,85,152
108,221,89,110,67,42,87,148
107,224,90,104,58,41,92,142
101,223,82,94,43,36,89,135
107,222,82,97,50,37,88,132
106,214,88,103,53,35,67,120
114,211,83,101,53,43,63,119
105,197,80,127,81,47,74,129
107,210,81,134,92,51,74,130
113,193,89,128,90,50,75,130
114,217,80,136,92,50,84,103
116,220,87,166,97,46,94,117
118,211,89,138,75,43,82,105
120,211,91,144,63,35,83,108
106,210,82,158,65,38,84,111
110,186,84,149,65,34,80,99
103,178,71,118,58,33,76,104
96,171,78,134,60,37,77,104
93,150,92,138,60,41,81,106
108,180,90,126,61,42,81,134
115,179,87,124,58,45,92,133
125,172,86,123,57,44,96,122
128,189,88,105,62,41,101,130
127,214,84,89,77,40,98,126
108,189,88,90,78,40,99,99
91,194,91,87,74,36,103,113
91,232,92,83,74,38,97,112
96,221,82,79,67,39,94,127
112,227,72,87,60,37,95,136
117,239,70,95,62,40,97,146
134,244,69,110,65,39,76,136
126,211,74,115,69,39,76,154
123,225,78,132,79,39,79,145
107,193,81,119,69,42,89,142
118,203,78,111,59,38,89,129
117,214,87,100,62,39,121,163
121,218,81,100,62,39,121,155
129,208,81,150,88,41,118,158
130,215,76,160,110,48,113,162
123,215,79,181,116,53,123,170
121,220,73,187,114,58,127,152
114,223,73,184,111,58,124,140
109,241,75,153,88,55,127,134
132,253,74,144,62,47,125,122
130,243,79,133,61,47,134,124
136,230,83,129,61,44,113,116
142,223,82,140,64,44,113,117
139,206,82,127,69,47,112,122
138,187,81,137,78,50,115,128
145,181,75,138,74,50,109,146
132,177,66,129,73,49,132,163
129,182,69,119,74,47,153,163
128,177,68,176,76,45,161,167
116,181,64,167,70,43,164,169
112,183,74,173,73,46,175,150
107,188,80,174,72,45,165,133
106,188,77,178,70,47,154,139
107,198,84,157,69,49,146,138
99,217,91,157,69,49,140,143
97,223,81,137,62,42,119,147
116,239,79,135,63,43,125,140
108,245,81,130,66,42,116,138
106,233,72,89,54,38,114,144
107,212,65,86,52,37,115,136
100,204,68,103,60,39,108,125
80,198,65,107,61,38,106,135
88,188,67,122,62,41,109,133
99,217,76,120,65,40,108,111
110,232,93,131,62,39,105,113
113,229,95,125,61,39,102,120
120,239,96,125,63,38,102,120
120,243,99,115,63,34,98,116
113,227,93,117,72,43,99,118
121,230,81,108,72,45,104,134
120,242,80,125,70,46,103,126
113,218,77,129,70,46,75,119
123,217,71,141,69,46,72,117
128,221,76,141,55,41,71,135
108,195,71,136,56,41,70,123
108,181,84,116,54,41,94,136
113,191,84,115,52,39,111,155
104,183,85,120,58,39,116,164
96,173,77,111,62,42,118,149
94,186,89,136,61,40,116,152
110,205,84,145,63,40,105,145
112,202,86,142,64,39,85,123
113,205,86,122,59,39,81,115
123,215,96,122,63,38,80,142
145,221,99,169,76,46,94,135
135,199,92,168,76,44,93,133
139,238,97,175,84,50,96,129
151,241,117,191,92,57,101,138
153,255,128,205,93,58,97,118
148,259,122,190,92,56,93,126
149,268,124,199,99,57,88,128
165,243,124,194,97,64,106,160
156,243,102,206,89,58,107,168
156,238,78,218,88,56,111,171
159,218,100,189,86,52,103,162
198,231,114,175,77,56,102,167
251,244,126,193,72,50,94,164
267,285,129,203,93,52,90,175
272,267,137,198,94,52,86,170
273,291,141,216,89,54,87,170
246,310,150,217,91,59,93,166
182,297,140,204,104,58,80,149
153,265,138,167,86,56,74,111
136,294,136,156,82,57,75,118
117,285,128,141,80,54,72,124
120,253,109,144,85,51,68,126
111,242,111,146,65,47,65,153
144,231,117,163,70,45,64,158
143,201,115,201,81,45,62,149
155,208,108,201,94,54,79,152
165,198,99,194,96,52,84,167
172,212,95,193,102,57,87,146
145,224,98,186,101,58,87,158
146,237,109,132,108,66,90,162
130,223,101,124,108,61,78,154
112,236,105,135,102,59,81,141
96,239,108,134,101,59,85,137
126,269,106,129,101,58,91,138
124,257,91,137,96,51,87,134
130,267,105,181,97,51,87,141
135,258,101,174,97,52,82,159
128,279,106,171,94,49,80,155
106,243,108,195,92,50,73,142
119,235,118,209,83,51,77,145
139,253,119,173,69,52,88,164
148,264,124,172,70,59,108,150
160,274,116,173,68,58,106,154
158,273,115,179,79,63,108,156
151,283,116,169,82,63,107,157
138,259,112,162,79,60,98,127
147,283,110,168,79,57,97,124
139,250,108,164,80,58,93,127
139,244,101,135,83,52,91,132
146,236,94,124,82,53,98,152
155,231,87,127,82,62,103,158
129,175,83,116,76,65,96,160
135,182,87,117,76,64,106,182
148,185,97,100,61,67,108,205
139,214,91,95,50,64,102,187
117,210,92,117,51,57,96,182
122,226,92,149,50,47,78,175
123,218,96,164,66,56,77,185
107,220,91,165,67,52,73,153
105,196,97,157,68,52,77,204
115,246,90,147,73,53,81,209
138,233,96,120,74,54,79,214
126,228,86,97,62,47,70,177
138,245,79,109,68,46,73,187
141,255,64,109,72,45,71,140
137,206,70,104,73,50,78,141
108,216,75,126,78,50,77,135
118,222,79,127,77,48,73,138
106,217,90,114,73,46,68,138
108,209,92,116,67,51,86,146
102,209,91,150,88,51,112,154
106,201,85,128,91,58,125,158
105,190,88,152,96,58,127,156
111,181,78,152,98,60,141,151
141,198,83,149,99,114,393,350
152,196,83,117,75,119,417,368
160,234,89,156,73,115,418,373
171,239,134,152,74,118,423,392
166,235,149,154,72,119,422,396
137,208,148,159,78,69,216,235
131,244,154,160,86,57,151,201
120,229,148,125,80,61,153,193
104,229,108,123,79,58,145,175
120,234,93,126,82,63,153,177
120,239,97,140,82,59,143,174
116,214,103,147,79,56,140,179
142,213,104,147,82,54,141,211
136,231,103,160,74,53,138,185
133,221,101,158,71,49,135,193
138,247,100,141,66,47,123,186
142,236,84,131,75,50,121,206
122,226,76,132,76,48,127,169
126,202,76,104,76,49,126,171
123,212,72,113,77,46,110,140
120,193,71,120,85,52,112,144
111,190,81,122,77,55,135,169
120,228,112,127,79,63,160,192
123,234,115,128,91,64,158,192
114,227,119,119,92,63,158,191
113,255,121,114,87,58,167,203
123,293,116,107,84,52,148,164
109,258,99,93,78,43,104,135
105,287,107,103,66,39,99,132
107,290,103,121,70,39,99,135
104,265,105,119,65,40,79,118
95,221,102,125,61,41,103,107
90,237,94,144,63,42,97,132
78,189,113,146,69,42,99,179
79,178,113,135,65,44,104,177
91,183,111,136,64,43,109,177
93,194,113,127,64,44,94,192
100,169,114,164,87,42,94,184
105,184,91,163,99,43,92,140
102,201,100,167,99,40,84,140
104,209,95,167,104,50,98,203
109,210,90,173,107,55,115,209
102,233,90,162,98,56,122,212
108,226,98,193,90,56,122,223
117,223,94,190,89,59,125,231
116,242,103,193,84,55,144,249
115,236,120,192,78,49,129,237
141,244,119,173,93,52,123,228
154,246,107,126,83,52,122,228
147,236,103,141,90,55,128,228
157,210,93,142,91,52,101,170
158,210,83,159,95,54,107,181
139,171,92,167,74,53,106,185
119,158,91,162,75,52,110,174
142,192,92,141,67,46,105,182
130,202,94,146,71,52,128,193
128,238,84,139,72,47,121,192
125,246,94,128,67,47,120,192
140,272,109,149,79,49,118,209
131,281,110,154,79,53,120,212
162,274,113,161,81,53,100,234
174,260,128,159,84,56,96,240
178,295,119,173,84,57,93,238
176,278,114,157,73,55,93,234
189,282,118,186,79,55,90,237
166,309,120,178,75,60,94,188
156,343,115,174,73,59,102,173
161,321,112,202,84,58,108,172
170,359,117,203,88,61,117,174
204,463,112,177,85,64,125,171
234,482,127,220,105,58,163,255
250,482,145,267,115,60,163,258
262,577,187,241,110,67,166,257
253,567,189,239,104,67,169,256
237,531,215,238,100,61,167,254
208,532,215,197,81,74,150,202
199,519,199,153,71,80,168,211
190,430,165,143,78,77,167,224
203,415,167,158,93,76,154,217
196,367,132,159,95,77,159,234
208,362,136,162,92,63,139,265
214,411,147,140,90,59,125,260
215,415,163,146,83,58,122,260
205,425,166,145,75,61,130,266
186,414,186,162,77,65,121,251
183,364,167,157,78,70,121,261
172,304,158,164,84,72,121,267
170,274,142,151,84,72,123,272
165,305,134,137,80,69,117,262
165,301,112,111,76,70,143,287
187,335,124,123,79,62,130,239
187,337,131,114,72,55,125,259
177,323,143,143,101,53,120,252
