Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
72,169,502,278,82,80,116,49
64,154,482,233,85,83,121,48
65,164,563,231,79,75,103,45
66,165,589,214,84,85,110,48
65,160,600,199,85,84,106,43
67,188,622,241,94,86,96,45
78,186,672,259,101,89,87,48
80,184,628,249,99,90,93,49
80,190,610,281,98,91,96,44
81,183,628,287,99,89,94,43
89,158,604,312,105,109,121,51
80,148,496,293,92,110,146,55
79,160,481,292,92,111,148,57
77,165,496,275,87,106,151,61
81,191,541,323,94,111,153,64
62,188,567,288,77,92,135,56
72,206,657,339,87,86,104,52
76,189,699,365,100,90,103,55
77,184,668,362,102,91,88,54
70,162,642,343,101,88,95,52
80,167,625,341,109,86,89,53
70,168,625,383,119,90,96,54
68,220,584,387,119,88,92,53
70,216,602,405,118,81,91,50
72,209,572,386,113,81,87,53
67,196,627,405,120,81,87,52
66,204,613,374,117,84,85,50
74,169,623,360,111,91,91,51
76,202,651,370,120,97,95,52
82,222,757,419,134,102,92,50
77,232,710,407,122,99,91,48
84,227,656,357,109,89,90,51
81,236,648,333,115,90,100,53
81,229,658,301,105,87,101,53
75,221,653,292,90,82,103,53
77,217,660,287,93,89,113,56
68,216,651,300,99,91,110,53
66,193,642,353,87,75,94,44
71,204,633,364,90,74,91,45
75,199,546,326,90,71,88,47
77,197,506,320,93,77,88,45
81,179,560,339,91,80,92,45
80,189,595,359,97,84,92,49
75,192,591,360,96,84,89,49
65,192,570,346,92,85,89,45
66,190,590,362,90,75,80,45
74,233,604,390,102,84,87,54
69,228,589,342,99,89,87,49
72,206,586,373,112,101,97,51
79,221,630,389,117,102,93,54
78,232,647,383,114,100,91,52
67,210,627,339,101,92,95,44
79,219,666,335,116,102,105,53
77,216,678,329,116,97,102,51
74,213,674,344,136,107,111,52
80,207,669,347,133,106,113,58
78,230,712,362,137,107,107,56
71,218,701,379,126,94,100,52
83,233,738,392,122,91,100,60
81,217,705,381,105,90,104,63
83,224,699,363,109,91,100,62
88,193,647,372,117,96,96,64
89,195,611,361,116,97,96,66
87,188,612,342,116,97,91,60
86,202,622,385,113,87,77,53
84,200,676,461,138,111,95,50
82,212,749,470,139,113,96,47
80,222,762,513,150,113,94,45
82,224,748,526,154,120,111,45
87,222,776,497,151,121,124,51
81,214,719,431,128,106,114,49
81,213,655,451,126,97,110,51
83,207,635,406,121,95,109,52
75,194,704,378,118,98,105,50
77,193,717,459,133,104,93,48
77,195,775,488,137,99,93,52
81,186,878,525,145,110,100,53
95,220,1043,647,173,119,113,63
93,224,977,661,170,106,99,62
92,249,1024,714,189,108,100,62
101,284,1055,783,205,115,99,62
99,285,976,757,197,104,96,60
85,278,822,656,168,97,93,52
96,279,809,645,164,99,99,55
99,283,758,551,136,87,91,57
94,255,694,458,121,80,97,56
101,270,744,495,128,83,95,60
104,280,773,498,132,82,93,60
96,279,770,480,134,86,90,58
90,263,808,442,128,88,96,53
86,276,861,412,114,85,90,52
80,272,860,354,110,92,96,50
73,235,795,365,110,91,88,48
79,245,912,397,114,91,95,52
80,300,863,417,123,89,88,51
79,297,829,448,135,93,85,49
73,282,749,400,130,86,78,46
87,320,803,424,132,82,78,49
99,338,725,432,135,81,74,55
97,273,700,419,127,80,74,55
97,257,637,393,113,73,74,56
97,246,654,389,110,77,88,59
87,209,626,367,107,79,86,58
72,183,734,363,104,84,82,49
