Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
362,318,207,79,68,120,167,213
350,262,160,79,71,119,184,231
325,278,152,73,60,106,194,263
346,285,139,70,58,102,193,250
348,302,155,78,61,94,196,242
376,290,174,72,55,107,195,285
397,318,175,71,56,110,175,267
373,340,183,73,57,110,156,236
392,331,192,75,59,107,156,237
394,316,168,59,53,121,167,262
494,321,143,63,60,143,178,290
494,290,143,57,60,157,193,327
507,274,130,56,62,161,203,330
494,315,125,57,60,160,201,336
545,324,125,60,61,148,198,325
457,300,133,54,56,118,181,288
443,307,135,67,66,140,227,327
484,331,149,72,65,140,226,328
465,293,153,70,67,143,232,321
464,308,193,69,67,143,233,320
477,326,178,66,65,145,231,300
498,370,194,71,60,118,205,303
515,326,193,74,63,115,215,301
519,334,207,80,65,120,229,316
492,303,175,84,70,142,224,325
501,323,193,88,71,141,232,326
482,316,185,92,73,132,215,265
436,331,177,87,70,129,195,379
463,325,155,84,69,127,207,395
423,368,159,85,71,108,194,373
376,331,138,86,77,134,238,421
390,286,145,83,78,135,228,417
401,290,157,88,82,150,260,373
396,287,152,87,79,149,242,359
435,241,145,82,72,150,261,392
465,254,155,80,66,143,245,347
450,249,142,67,52,144,255,337
439,256,133,63,52,129,221,266
440,259,135,59,51,138,238,255
400,240,149,66,61,147,221,249
392,267,173,75,65,136,198,243
383,257,174,80,69,132,183,248
415,246,193,80,64,132,183,272
413,233,194,80,63,133,162,268
411,226,186,76,59,163,202,302
379,235,174,67,53,160,201,309
384,241,170,60,49,156,203,305
314,226,153,59,51,158,210,293
338,243,152,63,61,176,231,354
327,285,171,72,66,132,198,334
344,256,148,73,67,129,194,322
378,260,167,82,76,131,197,341
446,281,164,80,75,139,217,350
403,267,160,83,77,126,206,293
455,243,135,76,73,134,217,278
435,281,139,72,71,134,213,279
460,288,126,68,63,131,209,256
451,269,118,74,68,132,203,244
461,275,122,67,56,127,238,250
437,291,124,66,53,124,233,232
446,245,146,76,56,124,227,229
415,230,140,70,56,124,233,317
428,286,137,68,55,118,221,347
497,306,137,70,54,94,158,334
472,293,153,71,53,102,198,358
500,304,149,74,61,105,205,365
510,339,152,74,61,108,221,311
478,290,156,72,58,98,228,308
406,266,157,74,65,134,233,321
432,288,157,74,67,135,205,300
432,274,139,64,63,134,199,294
412,234,153,74,65,136,209,270
393,255,154,76,73,148,211,273
407,291,157,72,73,132,234,271
394,278,145,72,74,134,241,287
399,283,153,72,73,147,258,293
431,301,143,64,73,149,230,308
449,308,144,61,67,141,230,272
440,273,145,62,68,144,210,263
465,268,145,70,65,134,192,237
419,262,134,70,64,121,178,219
398,270,122,71,61,113,189,246
392,242,114,76,61,119,181,255
364,252,115,82,61,115,186,242
338,278,120,81,62,116,194,234
333,273,125,82,64,114,208,242
319,253,131,81,67,128,218,229
309,307,165,84,66,133,234,281
318,309,158,78,60,128,229,325
324,277,190,71,57,126,225,322
342,274,199,68,57,128,203,320
367,317,193,68,59,139,236,331
404,287,182,70,60,129,212,283
406,285,203,80,66,127,207,239
374,276,179,79,69,128,201,241
365,270,163,78,68,129,205,264
346,221,163,83,65,101,149,264
361,217,149,74,68,98,141,262
364,192,120,60,61,92,134,267
382,213,110,60,56,95,157,291
442,319,143,70,59,98,181,309
487,326,142,64,58,96,172,318
431,343,149,71,59,101,182,328
455,367,160,73,59,99,195,327
456,357,163,78,65,109,178,303
415,276,144,74,60,107,167,297
374,291,147,73,58,107,168,239
386,274,158,87,63,101,180,230
366,261,157,90,69,110,186,258
349,273,160,86,68,93,184,267
394,289,155,84,70,97,181,240
428,257,158,88,73,96,189,251
482,242,155,76,65,102,175,245
474,237,154,78,69,122,199,242
490,226,141,76,68,134,210,246
452,247,150,77,69,141,215,244
389,276,160,89,74,174,220,255
333,295,160,90,78,172,212,268
331,298,151,88,74,160,183,244
319,309,152,90,75,158,190,244
340,289,148,91,77,181,212,297
327,281,156,91,78,159,211,290
306,278,160,98,80,174,228,282
291,297,169,98,83,173,218,270
384,289,165,96,81,167,212,285
419,277,167,95,79,165,209,263
457,279,153,85,74,160,197,309
440,304,141,69,64,146,180,302
465,279,125,65,55,140,177,301
396,277,141,65,57,150,163,282
393,325,186,92,69,135,156,274
352,322,190,95,71,134,158,203
384,294,190,104,81,131,156,203
357,291,191,106,83,134,160,210
359,290,183,109,85,129,166,227
380,304,132,95,90,150,145,197
415,283,112,91,90,152,145,212
406,267,92,76,84,152,151,217
416,260,90,74,81,152,157,230
426,311,123,81,85,163,187,217
369,256,120,71,67,122,184,241
322,280,131,69,62,115,182,223
319,279,133,68,57,112,181,226
318,305,141,76,65,117,206,228
