Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
58,104,182,56,37,41,76,91
57,110,175,56,36,40,79,90
55,103,188,53,34,37,80,91
55,105,195,55,32,39,59,116
68,113,185,55,36,38,61,110
61,114,166,49,37,40,61,103
58,116,175,52,37,41,60,105
60,118,165,54,36,43,61,102
58,113,167,54,37,38,59,68
56,102,195,57,37,42,65,85
55,96,198,60,34,39,66,76
57,96,207,59,37,38,63,72
55,103,203,57,37,36,60,72
62,107,209,60,35,36,57,75
62,111,183,50,29,30,57,70
63,114,203,50,33,30,77,100
62,111,193,48,30,33,83,102
72,108,195,48,32,37,87,104
66,111,225,53,31,36,85,101
56,117,247,59,33,37,85,100
55,123,228,58,29,36,67,71
65,126,225,57,31,37,61,78
54,120,221,56,29,35,62,80
53,123,176,46,30,33,65,90
51,111,153,43,33,42,69,83
50,97,144,42,35,44,67,81
50,107,150,45,33,40,67,71
57,116,172,48,34,40,63,68
59,112,185,55,35,45,89,86
59,114,176,53,31,38,84,82
60,117,174,51,30,36,82,82
51,91,164,49,31,39,82,87
50,92,156,45,33,42,82,91
52,92,137,39,31,35,59,79
56,100,138,38,34,40,62,87
53,97,141,41,36,41,62,88
59,107,149,41,37,40,60,84
57,101,133,44,36,40,59,83
58,93,156,46,36,42,63,82
57,100,179,52,36,35,55,76
57,100,177,48,33,33,56,85
57,89,178,59,35,35,66,91
63,104,221,62,33,33,66,93
59,114,211,62,35,35,65,97
57,100,194,60,36,39,76,117
65,127,243,71,41,43,77,114
58,145,252,68,40,41,72,113
53,134,216,63,40,44,84,119
55,128,228,68,41,43,87,133
54,128,223,64,38,42,82,119
49,102,164,52,34,40,82,117
53,89,160,55,35,41,82,122
61,137,163,56,34,37,73,119
68,137,136,54,36,37,68,92
72,146,144,55,37,38,65,93
72,159,143,56,42,47,81,97
77,164,116,48,39,47,80,102
75,144,140,52,44,50,87,101
67,145,138,44,40,50,87,105
65,140,164,46,38,49,85,100
73,136,184,44,32,40,76,100
66,138,185,47,35,43,82,87
58,126,166,41,29,37,74,82
63,141,185,46,29,38,84,107
62,151,212,53,32,37,82,108
56,143,210,57,33,39,79,119
56,129,231,64,32,37,78,122
57,127,245,65,33,38,76,127
83,137,234,64,34,38,54,102
85,128,194,58,32,39,63,100
84,129,204,55,32,42,73,91
84,136,189,49,30,39,70,81
98,133,173,48,30,39,69,68
74,111,176,46,30,36,71,64
75,101,167,44,30,35,64,64
73,105,152,44,30,28,54,55
78,91,166,49,31,34,55,81
68,137,172,51,34,37,61,89
68,140,189,50,33,39,66,94
64,144,193,52,32,38,67,99
79,156,198,53,31,40,85,121
75,177,183,46,32,38,83,107
69,187,179,45,30,36,79,105
68,185,165,43,30,39,84,115
75,211,173,47,35,49,105,129
64,207,164,47,37,46,91,111
63,192,178,47,34,46,93,116
61,152,184,48,35,46,94,113
71,171,171,53,38,47,95,109
70,160,158,48,34,43,91,102
64,159,147,47,34,45,93,120
73,173,144,45,35,48,110,129
77,178,162,50,36,50,112,133
69,159,182,46,35,48,110,136
63,150,195,51,35,44,97,127
83,179,211,52,38,44,93,109
81,170,220,55,37,43,70,96
78,166,211,55,37,43,77,118
79,164,208,62,39,45,83,118
104,219,218,61,39,44,79,120
90,201,239,71,42,44,80,123
85,203,231,75,43,40,76,121
110,201,232,72,40,37,67,110
115,199,223,67,42,42,85,136
96,173,245,75,46,48,111,142
99,163,218,67,43,47,112,139
101,159,210,66,45,49,118,140
72,158,197,64,45,53,126,145
73,169,238,64,41,45,110,115
69,124,200,53,38,43,92,115
66,136,206,57,39,42,96,138
71,144,209,55,38,41,95,142
70,142,215,53,36,35,81,127
58,130,188,54,38,37,77,122
59,124,189,55,36,37,78,120
57,110,180,48,33,37,69,90
58,128,199,59,36,37,65,90
59,133,212,61,37,39,71,91
71,161,223,68,37,44,87,99
72,161,255,66,37,40,81,87
75,166,256,65,35,41,82,91
67,150,248,53,32,42,80,80
68,148,248,55,32,41,78,92
65,116,227,44,34,41,76,116
60,111,191,45,34,41,77,118
56,109,200,49,37,42,77,115
64,123,183,54,39,42,76,115
64,132,176,54,39,43,73,103
56,150,205,64,37,37,71,76
56,153,228,66,40,41,79,69
57,181,219,69,41,41,76,70
41,171,250,73,42,43,82,76
44,168,245,70,42,45,85,86
51,164,218,64,44,49,80,87
52,176,196,66,45,50,71,95
80,145,202,60,43,50,73,93
82,145,185,55,43,49,77,101
80,170,192,64,44,49,83,95
77,161,196,63,42,45,73,93
78,149,198,61,42,49,88,104
57,146,190,64,42,46,87,104
55,134,185,58,40,44,80,97
