Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
51,264,361,196,51,61,138,168
58,258,375,201,50,51,129,179
60,259,356,204,51,52,150,189
62,256,296,206,49,49,147,167
61,266,247,177,43,52,145,156
63,245,309,198,39,59,173,179
76,237,284,186,40,61,183,182
135,240,296,189,40,61,178,181
149,240,317,197,44,62,173,182
157,235,320,213,45,59,177,196
156,144,245,180,42,59,186,208
151,148,341,204,47,59,173,194
104,200,400,231,47,56,158,177
81,200,392,212,44,56,155,180
65,194,395,187,41,65,153,168
67,192,393,183,44,74,143,151
64,190,340,165,44,75,150,166
68,137,272,131,44,74,148,161
76,140,320,170,45,74,149,160
79,135,340,181,47,71,167,182
75,133,344,186,50,71,184,191
79,230,368,206,48,70,187,176
72,231,364,202,45,72,189,176
64,221,368,214,47,75,190,173
61,221,366,226,49,100,217,173
69,224,368,224,45,89,183,134
61,123,322,201,42,91,173,123
64,135,333,199,48,91,174,121
71,130,317,173,48,88,174,142
72,186,304,161,47,59,138,127
63,189,310,163,48,69,212,229
60,194,298,155,49,66,210,232
59,186,295,173,46,63,209,238
52,196,241,154,42,66,217,231
54,154,234,142,40,72,220,228
54,151,227,139,38,67,163,141
61,221,281,154,40,64,158,135
59,219,284,127,38,64,156,127
60,217,281,116,38,63,145,119
56,218,292,124,38,67,137,136
60,219,315,141,41,62,120,128
53,153,330,149,41,62,114,130
52,144,329,158,44,68,116,127
48,205,340,168,49,74,144,143
56,210,346,173,51,67,153,118
59,224,359,177,55,66,148,111
57,216,320,169,54,68,154,109
57,219,295,169,58,64,158,117
57,152,271,157,54,76,168,120
56,138,254,153,53,72,147,118
49,110,238,149,51,72,147,116
64,140,258,162,48,71,143,115
64,190,299,167,47,77,180,182
64,222,310,173,50,75,170,171
60,230,305,168,49,72,186,189
62,235,303,160,46,73,190,196
49,233,275,140,46,72,191,197
51,229,257,123,39,78,167,158
49,213,261,121,34,71,168,177
54,204,274,116,32,71,149,182
54,198,294,116,35,73,151,174
52,181,304,112,36,74,150,176
67,145,299,140,42,66,161,166
67,162,309,156,45,61,139,158
67,198,307,161,47,64,146,146
70,206,300,167,49,62,136,144
68,211,280,162,48,63,140,149
54,208,292,154,49,58,127,163
53,177,276,136,45,67,142,160
48,140,258,136,46,74,168,173
45,224,240,135,43,78,176,178
47,235,303,156,52,77,173,171
41,230,297,135,45,75,161,156
44,233,312,138,51,77,171,167
58,238,325,143,53,68,142,142
59,166,318,126,51,64,140,144
63,143,269,111,44,65,139,144
71,205,244,120,47,75,165,181
71,210,240,119,44,65,140,163
61,228,248,117,41,66,145,165
71,258,264,123,44,65,138,160
69,262,271,120,45,64,144,186
61,222,293,134,42,67,164,160
62,218,279,136,45,69,166,155
61,208,267,155,47,64,156,152
55,202,296,179,52,65,155,148
52,196,292,178,54,80,181,147
53,191,327,172,56,75,160,129
61,290,358,178,55,71,161,150
62,281,368,173,55,72,166,154
55,252,323,143,45,70,166,159
54,255,316,139,42,50,132,129
59,273,288,151,46,52,139,140
60,214,265,151,51,59,140,138
58,215,297,149,52,62,134,134
60,218,325,165,55,62,138,128
61,218,324,170,57,65,144,146
60,249,318,171,56,64,152,174
52,220,327,197,58,64,155,168
54,216,318,207,59,63,153,174
51,218,302,204,59,66,150,175
62,254,318,213,58,68,169,185
73,234,316,202,58,65,153,152
75,231,293,176,51,62,154,153
77,255,247,163,48,72,187,166
83,288,262,197,45,74,192,170
75,254,292,216,47,71,171,148
60,226,273,224,43,74,180,164
62,222,263,216,43,73,175,162
62,271,306,226,46,62,146,138
54,234,302,204,52,59,139,134
58,237,290,177,51,62,150,150
60,264,292,161,50,67,174,151
60,278,313,168,51,75,172,141
60,258,318,151,51,74,173,141
70,265,327,136,47,74,184,160
70,266,289,123,43,74,180,142
72,240,309,118,45,76,201,169
70,257,311,114,42,65,196,173
67,220,294,156,46,71,199,179
54,211,252,161,45,68,189,162
54,203,272,167,47,75,208,174
57,252,242,169,50,69,151,136
56,234,252,188,53,80,168,131
57,226,251,158,49,75,160,121
63,228,340,181,52,79,171,129
65,276,336,179,51,74,151,116
59,238,351,181,48,67,141,109
69,222,355,178,48,57,125,125
69,212,351,173,48,56,132,137
66,253,288,145,48,62,140,131
65,214,307,151,51,63,176,165
66,209,311,167,53,64,183,168
54,210,294,144,49,61,180,154
58,250,283,149,50,64,183,154
59,219,261,152,46,64,192,168
53,203,235,149,43,58,165,144
54,200,263,149,45,65,168,130
57,256,286,192,50,65,166,130
58,222,276,183,47,64,159,128
55,210,294,183,48,64,139,115
72,225,297,183,47,65,129,116
70,300,285,196,44,59,117,122
72,258,282,161,41,61,123,124
67,254,289,159,43,60,121,133
96,258,272,151,40,52,117,143
87,301,322,168,44,55,114,135
88,235,309,145,45,53,109,146
86,228,295,155,43,52,109,146
87,228,291,161,45,55,109,133
66,237,296,172,48,57,140,149
65,274,239,152,45,53,142,151
64,274,250,143,42,51,144,135
61,281,270,144,44,51,149,142
63,288,262,132,42,53,163,175
55,278,252,123,38,51,146,171
57,219,363,236,51,52,140,164
56,212,403,269,56,51,133,165
55,203,428,294,57,48,121,160
65,195,428,293,57,52,151,203
61,195,451,295,61,55,148,199
59,180,387,223,52,63,154,200
72,199,336,193,48,62,156,199
72,198,285,138,47,63,155,198
64,212,284,139,47,67,140,152
62,207,269,141,44,70,143,137
61,257,283,155,42,64,135,138
44,243,279,148,42,65,137,139
51,240,258,145,36,64,137,136
50,225,267,153,36,57,115,85
58,276,258,139,35,58,133,90
60,213,234,116,34,55,132,99
62,207,234,116,33,57,133,96
57,211,236,114,35,63,137,97
62,229,259,124,40,59,126,100
71,223,245,132,41,80,255,209
68,213,245,148,41,82,262,208
67,215,301,202,42,82,266,214
71,228,313,201,42,81,268,217
71,212,301,196,40,91,289,241
67,220,333,204,40,66,172,155
68,218,327,191,40,64,160,148
74,225,268,129,38,63,151,140
72,214,252,129,39,71,161,139
67,209,251,124,35,55,134,107
62,200,213,102,36,57,125,98
62,197,212,104,35,59,123,94
55,193,251,110,39,59,123,98
63,189,258,116,39,53,146,139
65,231,253,110,39,60,157,136
58,194,260,115,39,60,157,136
62,198,252,130,40,58,158,137
66,200,248,135,41,57,164,150
64,198,280,134,42,70,200,169
61,163,273,135,43,77,207,169
60,145,288,151,41,76,209,183
60,210,281,146,39,75,209,184
58,205,274,151,38,78,206,172
51,228,254,156,37,70,163,144
57,226,256,159,38,57,137,155
58,226,282,170,41,64,145,142
53,231,296,179,42,67,159,145
49,234,287,182,39,66,157,143
54,223,294,189,38,60,157,174
57,227,294,186,38,64,194,203
57,223,251,170,40,62,190,204
59,151,271,171,42,64,189,205
60,136,271,149,43,74,214,210
57,150,249,134,45,77,229,202
49,140,249,148,46,73,198,160
60,218,298,160,44,69,192,157
57,221,300,177,45,65,187,161
56,226,310,181,45,56,161,158
54,220,315,182,45,49,109,105
56,214,308,175,45,51,116,105
45,140,272,155,44,53,114,106
46,132,225,109,41,56,104,102
55,212,225,126,41,56,99,102
67,213,236,137,44,57,99,101
66,215,330,191,48,55,80,89
67,218,318,207,49,54,79,78
70,232,321,209,50,54,123,132
64,189,307,204,56,58,131,137
53,237,318,205,52,55,131,139
51,244,243,155,45,53,129,138
49,247,253,144,43,53,130,143
48,246,267,159,45,56,144,175
48,224,265,167,39,57,168,190
52,167,237,154,40,55,169,192
55,204,238,156,44,57,176,198
53,204,253,164,45,61,183,237
57,189,238,143,41,62,160,200
64,191,258,121,44,56,127,186
61,235,274,159,47,58,128,195
61,204,272,178,46,66,130,189
59,197,243,159,45,76,144,152
62,208,289,184,52,71,139,159
55,210,327,199,50,69,139,158
51,148,340,181,48,73,140,145
58,130,361,184,46,65,130,148
65,132,364,189,53,74,136,147
58,114,394,203,50,79,158,131
58,178,360,189,47,82,163,132
67,188,331,183,48,80,157,129
72,208,319,182,54,82,162,135
68,204,319,180,46,68,146,156
73,212,240,135,43,67,114,142
73,180,237,147,48,65,108,135
63,195,276,171,48,62,111,138
53,191,311,160,42,62,121,138
59,193,307,157,41,54,166,219
53,191,308,157,40,51,173,224
55,169,290,145,35,50,179,231
59,146,273,115,35,50,176,232
56,124,215,108,35,47,165,229
52,122,213,107,35,62,134,154
52,120,201,131,37,61,128,158
51,190,205,142,41,64,121,151
52,207,215,157,42,65,123,150
54,212,203,147,41,81,159,169
51,220,205,154,41,71,164,153
50,218,233,154,42,71,160,140
49,169,233,156,39,68,158,136
46,136,229,140,35,68,157,133
45,133,225,135,34,62,133,109
52,122,234,133,37,74,131,97
63,217,231,120,39,74,130,102
64,221,263,126,42,74,129,108
63,226,256,124,44,75,133,108
69,222,264,128,44,70,135,112
67,233,250,120,41,52,110,106
61,225,249,141,36,53,115,107
59,228,231,130,35,52,114,101
64,225,219,126,33,55,116,103
61,231,211,128,43,68,161,148
60,220,229,130,42,69,166,148
62,146,246,118,45,70,166,151
68,200,223,110,41,70,166,154
65,219,274,150,44,68,163,154
62,223,269,148,39,55,122,142
66,222,278,157,43,56,127,153
60,218,305,148,41,53,120,149
55,166,323,147,45,53,121,144
55,206,292,112,44,54,120,144
55,202,301,107,43,52,169,200
53,201,349,135,43,52,166,192
55,203,312,137,43,56,172,193
61,233,306,151,42,56,171,194
57,206,309,154,41,54,172,195
57,203,308,157,41,56,138,121
60,204,241,131,43,61,133,117
62,209,261,134,43,62,130,116
55,211,247,126,40,62,129,115
54,190,226,121,38,65,129,112
51,187,217,113,37,76,115,84
44,192,202,102,32,72,130,131
38,190,178,125,33,70,129,135
45,148,204,135,34,71,135,136
48,133,211,145,34,70,137,137
50,129,209,148,36,52,135,185
